id,CODEISO3,insee_code,start_datetime,end_datetime,name,norm_name,newest_id,insee_code_history,dep_history,population,dep_code,newest_insee_code,validity,newest_name,newest_dep_code,surface,latitude,longitude,geopoint_2d,Code ONS,Commune,dep,Dates changement,Daira,Code postal,ambiguity,norm_rank,insee_rank
ALCO0103@2017-01-01,DZA,,,,Charouine,charouine,ALCO0103@2017-01-01,,,11347,,,true,Charouine,,,29.0167,-0.266667,POINT(-0.266667 29.0167),0103,Charouine,Adrar,,,,,1.0,1635.0
ALCO0105@2017-01-01,DZA,,,,In Zghmir,in zghmir,ALCO0105@2017-01-01,,,16185,,,true,In Zghmir,,,27.09384,-0.1206,POINT(-0.1206 27.09384),0105,In Zghmir,Adrar,,,,,1.0,1636.0
ALCO0106@2017-01-01,DZA,,,,Tit,tit,ALCO0106@2017-01-01,,,4417,,,true,Tit,,,26.950841,1.483669,POINT(1.483669 26.950841),0106,Tit,Adrar,,,,,1.0,1637.0
ALCO0108@2017-01-01,DZA,,,,Tsabit,tsabit,ALCO0108@2017-01-01,,,14895,,,true,Tsabit,,,28.366667,-0.25,POINT(-0.25 28.366667),0108,Tsabit,Adrar,,,,,1.0,1638.0
ALCO0111@2017-01-01,DZA,,,,Zaouiet Kounta,zaouiet kounta,ALCO0111@2017-01-01,,,17116,,,true,Zaouiet Kounta,,,27.216667,-0.2,POINT(-0.2 27.216667),0111,Zaouiet Kounta,Adrar,,,,,1.0,1639.0
ALCO0114@2017-01-01,DZA,,,,Tamantit,tamantit,ALCO0114@2017-01-01,,,9481,,,true,Tamantit,,,27.7667,-0.266667,POINT(-0.266667 27.7667),0114,Tamantit,Adrar,,,,,1.0,1640.0
ALCO0118@2017-01-01,DZA,,,,Sali,sali,ALCO0118@2017-01-01,,,13138,,,true,Sali,,,26.983333,-0.033333,POINT(-0.033333 26.983333),0118,Sali,Adrar,,,,,1.0,1641.0
ALCO0119@2017-01-01,DZA,,,,Akabli,akabli,ALCO0119@2017-01-01,,,10171,,,true,Akabli,,,26.7,1.36666667,POINT(1.36666667 26.7),0119,Akabli,Adrar,,,,,1.0,1642.0
ALCO0122@2017-01-01,DZA,,,,Bouda,bouda,ALCO0122@2017-01-01,,,9938,,,true,Bouda,,,28.0142,-0.50254,POINT(-0.50254 28.0142),0122,Bouda,Adrar,,,,,1.0,1643.0
ALCO0123@2017-01-01,DZA,,,,Aougrout,aougrout,ALCO0123@2017-01-01,,,11784,,,true,Aougrout,,,28.75,0.25,POINT(0.25 28.75),0123,Aougrout,Adrar,,,,,1.0,1644.0
ALCO0125@2017-01-01,DZA,,,,Bordj Badji Mokhtar,bordj badji mokhtar,ALCO0125@2017-01-01,,,16437,,,true,Bordj Badji Mokhtar,,,21.325,0.946,POINT(0.946 21.325),0125,Bordj Badji Mokhtar,Adrar,,,,,1.0,1645.0
ALCO0125@2017-01-01,DZA,,,,Bordj-Le-Prieur,bordj prieur,,,,,,,true,Bordj-Badji-Mokhtar,,,,,,,,,,,,1,1.0,1646.0
ALCO0126@2017-01-01,DZA,,,,Sebaa,sebaa,ALCO0126@2017-01-01,,,2312,,,true,Sebaa,,,28.2118058,-0.1748782,POINT(-0.1748782 28.2118058),0126,Sebaa,Adrar,,,,,1.0,1647.0
ALCO0302@2017-01-01,DZA,,,,Ksar El Hirane,ksar el hirane,ALCO0302@2017-01-01,,,23841,,,true,Ksar El Hirane,,1240,33.7885639,3.1407166,POINT(3.1407166 33.7885639),0302,Ksar El Hirane,Laghouat,,,,,1.0,1649.0
ALCO0304@2017-01-01,DZA,,,,Sidi Makhlouf,sidi makhlouf,ALCO0304@2017-01-01,,,12292,,,true,Sidi Makhlouf,,1420,34.133333,3.016667,POINT(3.016667 34.133333),0304,Sidi Makhlouf,Laghouat,,,,,1.0,1650.0
ALCO0305@2017-01-01,DZA,,,,Hassi Delaa,hassi delaa,ALCO0305@2017-01-01,,,11204,,,true,Hassi Delaa,,3955,33.41742,3.55021,POINT(3.55021 33.41742),0305,Hassi Delaa,Laghouat,,,,,1.0,1651.0
ALCO0306@2017-01-01,DZA,,,,Hassi R'Mel,hassi r mel,ALCO0306@2017-01-01,,,22133,,,true,Hassi R'Mel,,3830,32.928,3.271,POINT(3.271 32.928),0306,Hassi R'Mel,Laghouat,,,,,1.0,1652.0
ALCO0308@2017-01-01,DZA,,,,Tadjemout,tadjemout,ALCO0308@2017-01-01,,,24320,,,true,Tadjemout,,620,33.8795726,2.5234222,POINT(2.5234222 33.8795726),0308,Tadjemout,Laghouat,,,,,1.0,1653.0
ALCO0309@2017-01-01,DZA,,,,Kheneg,kheneg,ALCO0309@2017-01-01,,,10787,,,true,Kheneg,,3830,33.7446112,2.7941322,POINT(2.7941322 33.7446112),0309,Kheneg,Laghouat,,,,,1.0,1654.0
ALCO0311@2017-01-01,DZA,,,,Aïn Sidi Ali,ain sidi ali,ALCO0311@2017-01-01,,,10486,,,true,Aïn Sidi Ali,,,34.15691,1.54179,POINT(1.54179 34.15691),0311,Aïn Sidi Ali,Laghouat,,,,,1.0,1655.0
ALCO0314@2017-01-01,DZA,,,,El Ghicha,el ghicha,ALCO0314@2017-01-01,,,6079,,,true,El Ghicha,,730,33.933333,2.15,POINT(2.15 33.933333),0314,El Ghicha,Laghouat,,,,,1.0,1656.0
ALCO0319@2017-01-01,DZA,,,,Aflou,aflou,ALCO0319@2017-01-01,,,102025,,,true,Aflou,,303,34.113883,2.097262,POINT(2.097262 34.113883),0319,Aflou,Laghouat,,,,,1.0,1657.0
ALCO0323@2017-01-01,DZA,,,,El Houaita,el houaita,ALCO0323@2017-01-01,,,2789,,,true,El Houaita,,450,33.6452779,2.44596,POINT(2.44596 33.6452779),0323,El Houaita,Laghouat,,,,,1.0,1658.0
ALCO0401@2017-01-01,DZA,,,,Canrobert,canrobert,,,,,,,true,Oum El Bouaghi,,,,,,,,,,,,2,1.0,1659.0
ALCO0402@2017-01-01,DZA,,,,Aïn Beïda,ain beida,ALCO0402@2017-01-01,,,118662,,,true,Aïn Beïda,,5373,,,,0402,Aïn Beïda,Oum El Bouaghi,,,,,1.0,1660.0
ALCO0402@2017-01-01,DZA,,,,Source Blanche,source blanche,,,,,,,true,Aïn Beida,,,,,,,,,,,,2,1.0,1661.0
ALCO0403@2017-01-01,DZA,,,,Aïn M'lila,ain m lila,ALCO0403@2017-01-01,,,88441,,,true,Aïn M'lila,,236,36.033333,6.583333,POINT(6.583333 36.033333),0403,Aïn M'lila,Oum El Bouaghi,,,,,1.0,1662.0
ALCO0404@2017-01-01,DZA,,,,Behir Chergui,behir chergui,ALCO0404@2017-01-01,,,1904,,,true,Behir Chergui,,115,35.790804,7.717896,POINT(7.717896 35.790804),0404,Behir Chergui,Oum El Bouaghi,,,,,1.0,1663.0
ALCO0405@2017-01-01,DZA,,,,El Amiria,el amiria,ALCO0405@2017-01-01,,,10416,,,true,El Amiria,,165,36.1117033,6.8822913,POINT(6.8822913 36.1117033),0405,El Amiria,Oum El Bouaghi,,,,,1.0,1664.0
ALCO0407@2017-01-01,DZA,,,,El Belala,el belala,ALCO0407@2017-01-01,,,2477,,,true,El Belala,,180,35.670685,7.760468,POINT(7.760468 35.670685),0407,El Belala,Oum El Bouaghi,,,,,1.0,1666.0
ALCO0409@2017-01-01,DZA,,,,Berriche,berriche,ALCO0409@2017-01-01,,,17609,,,true,Berriche,,347,35.9164425,7.3768044,POINT(7.3768044 35.9164425),0409,Berriche,Oum El Bouaghi,,,,,1.0,1667.0
ALCO0410@2017-01-01,DZA,,,,Berteaux,berteaux,,,,,,,true,Ouled Hamla,,,,,,,,,,,,1,1.0,1668.0
ALCO0412@2017-01-01,DZA,,,,Aïn Kercha,ain kercha,ALCO0412@2017-01-01,,,32377,,,true,Aïn Kercha,,163,35.921169,6.699328,POINT(6.699328 35.921169),0412,Aïn Kercha,Oum El Bouaghi,,,,,1.0,1669.0
ALCO0413@2017-01-01,DZA,,,,Hanchir Toumghani,hanchir toumghani,ALCO0413@2017-01-01,,,23159,,,true,Hanchir Toumghani,,108,36.021891,6.696167,POINT(6.696167 36.021891),0413,Hanchir Toumghani,Oum El Bouaghi,,,,,1.0,1670.0
ALCO0414@2017-01-01,DZA,,,,El Djazia,el djazia,ALCO0414@2017-01-01,,,3878,,,true,El Djazia,,196,35.663154,7.507954,POINT(7.507954 35.663154),0414,El Djazia,Oum El Bouaghi,,,,,1.0,1671.0
ALCO0415@2017-01-01,DZA,,,,Aïn Diss,ain diss,ALCO0415@2017-01-01,,,2767,,,true,Aïn Diss,,123,36.092147,7.117209,POINT(7.117209 36.092147),0415,Aïn Diss,Oum El Bouaghi,,,,,1.0,1672.0
ALCO0417@2017-01-01,DZA,,,,Rouget de l'Isle,rouget isle,,,,,,,true,Souk Naamane,,,,,,,,,,,,1,1.0,1673.0
ALCO0420@2017-01-01,DZA,,,,Les Lacs,lacs,,,,,,,true,Ouled Zouaï,,,,,,,,,,,,1,1.0,1674.0
ALCO0420@2017-01-01,DZA,,,,Ouled Zouaï,ouled zouai,ALCO0420@2017-01-01,,,4998,,,true,Ouled Zouaï,,139,35.836185,6.506653,POINT(6.506653 35.836185),0420,Ouled Zouaï,Oum El Bouaghi,,,,,1.0,1675.0
ALCO0502@2017-01-01,DZA,,,,Ghassira,ghassira,ALCO0502@2017-01-01,,,,,,true,Ghassira,,,35.08161,6.20608,POINT(6.20608 35.08161),0502,Ghassira,Batna,,,,,1.0,1677.0
ALCO0504@2017-01-01,DZA,,,,Merouana,merouana,ALCO0504@2017-01-01,,,,,,true,Merouana,,,35.6286,5.9117,POINT(5.9117 35.6286),0504,Merouana,Batna,,,,,1.0,1678.0
ALCO0505@2017-01-01,DZA,,,,Seriana,seriana,ALCO0505@2017-01-01,,,,,,true,Seriana,,,35.68333333,6.18333333,POINT(6.18333333 35.68333333),0505,Seriana,Batna,,,,,1.0,1679.0
ALCO0508@2017-01-01,DZA,,,,Lambèse,lambese,,,,,,,true,Tazoult,,,,,,,,,,,,1,1.0,1680.0
ALCO0508@2017-01-01,DZA,,,,Tazoult,tazoult,ALCO0508@2017-01-01,,,,,,true,Tazoult,,,35.489188,6.254311,POINT(6.254311 35.489188),0508,Tazoult,Batna,,,,,1.0,1681.0
ALCO0509@2017-01-01,DZA,,,,N'Gaous,n gaous,ALCO0509@2017-01-01,,,,,,true,N'Gaous,,,35.561836,5.610924,POINT(5.610924 35.561836),0509,N'Gaous,Batna,,,,,1.0,1682.0
ALCO0511@2017-01-01,DZA,,,,Inoughissen,inoughissen,ALCO0511@2017-01-01,,,,,,true,Inoughissen,,,35.28538,6.542,POINT(6.542 35.28538),0511,Inoughissen,Batna,,,,,1.0,1683.0
ALCO0512@2017-01-01,DZA,,,,Ouyoun El Assafir,ouyoun el assafir,ALCO0512@2017-01-01,,,,,,true,Ouyoun El Assafir,,,35.52106,6.37968,POINT(6.37968 35.52106),0512,Ouyoun El Assafir,Batna,,,,,1.0,1684.0
ALCO0513@2017-01-01,DZA,,,,Djerma,djerma,ALCO0513@2017-01-01,,,,,,true,Djerma,,,35.6623355,6.3097241,POINT(6.3097241 35.6623355),0513,Djerma,Batna,,,,,1.0,1685.0
ALCO0516@2017-01-01,DZA,,,,Arris,arris,ALCO0516@2017-01-01,,,,,,true,Arris,,,35.55,6.17,POINT(6.17 35.55),0516,Arris,Batna,,,,,1.0,1686.0
ALCO0518@2017-01-01,DZA,,,,Tilatou,tilatou,ALCO0518@2017-01-01,,,,,,true,Tilatou,,,35.320168,5.783443,POINT(5.783443 35.320168),0518,Tilatou,Batna,,,,,1.0,1687.0
ALCO0519@2017-01-01,DZA,,,,Aïn Djasser,ain djasser,ALCO0519@2017-01-01,,,,,,true,Aïn Djasser,,,35.8611,6.0012,POINT(6.0012 35.8611),0519,Aïn Djasser,Batna,,,,,1.0,1688.0
ALCO0520@2017-01-01,DZA,,,,Ouled Sellam,ouled sellam,ALCO0520@2017-01-01,,,,,,true,Ouled Sellam,,,35.82563,5.88226,POINT(5.88226 35.82563),0520,Ouled Sellam,Batna,,,,,1.0,1689.0
ALCO0521@2017-01-01,DZA,,,,Tigherghar,tigherghar,ALCO0521@2017-01-01,,,,,,true,Tigherghar,,,35.16029,5.96984,POINT(5.96984 35.16029),0521,Tigherghar,Batna,,,,,1.0,1690.0
ALCO0523@2017-01-01,DZA,,,,Fesdis,fesdis,ALCO0523@2017-01-01,,,,,,true,Fesdis,,,35.617744,6.247401,POINT(6.247401 35.617744),0523,Fesdis,Batna,,,,,1.0,1691.0
ALCO0525@2017-01-01,DZA,,,,Rahbat,rahbat,ALCO0525@2017-01-01,,,,,,true,Rahbat,,,35.71231,5.65515,POINT(5.65515 35.71231),0525,Rahbat,Batna,,,,,1.0,1692.0
ALCO0527@2017-01-01,DZA,,,,Lemsane,lemsane,ALCO0527@2017-01-01,,,,,,true,Lemsane,,,35.65622,5.79668,POINT(5.79668 35.65622),0527,Lemsane,Batna,,,,,1.0,1693.0
ALCO0529@2017-01-01,DZA,,,,Seggana,seggana,ALCO0529@2017-01-01,,,,,,true,Seggana,,,35.3641602,5.5719001,POINT(5.5719001 35.3641602),0529,Seggana,Batna,,,,,1.0,1694.0
ALCO0531@2017-01-01,DZA,,,,Foum Toub,foum toub,ALCO0531@2017-01-01,,,,,,true,Foum Toub,,,35.40506,6.54961,POINT(6.54961 35.40506),0531,Foum Toub,Batna,,,,,1.0,1695.0
ALCO0533@2017-01-01,DZA,,,,Bernelle,bernelle,,,,,,,true,Oued El Ma[2],,,,,,,,,,,,1,1.0,1696.0
ALCO0535@2017-01-01,DZA,,,,Bouzina,bouzina,ALCO0535@2017-01-01,,,,,,true,Bouzina,,,35.283333,6.116667,POINT(6.116667 35.283333),0535,Bouzina,Batna,,,,,1.0,1697.0
ALCO0537@2017-01-01,DZA,,,,Victor-Duruy,victor duruy,,,,,,,true,Oued Chaaba,,,,,,,,,,,,1,1.0,1698.0
ALCO0538@2017-01-01,DZA,,,,Ferme Bourlier,ferme bourlier,,,,,,,true,Taslemt,,,,,,,,,,,,1,1.0,1699.0
ALCO0538@2017-01-01,DZA,,,,Taxlent,taxlent,ALCO0538@2017-01-01,,,,,,true,Taxlent,,,35.616667,5.816667,POINT(5.816667 35.616667),0538,Taxlent,Batna,,,,,1.0,1700.0
ALCO0543@2017-01-01,DZA,,,,Djezar,djezar,ALCO0543@2017-01-01,,,,,,true,Djezar,,,35.50956,5.26679,POINT(5.26679 35.50956),0543,Djezar,Batna,,,,,1.0,1701.0
ALCO0546@2017-01-01,DZA,,,,Hidoussa,hidoussa,ALCO0546@2017-01-01,,,,,,true,Hidoussa,,,35.5,5.9,POINT(5.9 35.5),0546,Hidoussa,Batna,,,,,1.0,1702.0
ALCO0547@2017-01-01,DZA,,,,Teniet El Abed,teniet el abed,ALCO0547@2017-01-01,,,,,,true,Teniet El Abed,,,35.24695,6.19062,POINT(6.19062 35.24695),0547,Teniet El Abed,Batna,,,,,1.0,1703.0
ALCO0548@2017-01-01,DZA,,,,Oued Taga,oued taga,ALCO0548@2017-01-01,,,,,,true,Oued Taga,,,35.33,6.23,POINT(6.23 35.33),0548,Oued Taga,Batna,,,,,1.0,1704.0
ALCO0549@2017-01-01,DZA,,,,Ouled Fadel,ouled fadel,ALCO0549@2017-01-01,,,,,,true,Ouled Fadel,,,35.4843,6.62465,POINT(6.62465 35.4843),0549,Ouled Fadel,Batna,,,,,1.0,1705.0
ALCO0550@2017-01-01,DZA,,,,Timgad,timgad,ALCO0550@2017-01-01,,,,,,true,Timgad,,,35.49581,6.467235,POINT(6.467235 35.49581),0550,Timgad,Batna,,,,,1.0,1706.0
ALCO0551@2017-01-01,DZA,,,,Ras El Aioun,ras el aioun,ALCO0551@2017-01-01,,,,,,true,Ras El Aioun,,,35.6749,5.6533,POINT(5.6533 35.6749),0551,Ras El Aioun,Batna,,,,,1.0,1707.0
ALCO0552@2017-01-01,DZA,,,,Chir,chir,ALCO0552@2017-01-01,,,,,,true,Chir,,,35.21283,6.09805,POINT(6.09805 35.21283),0552,Chir,Batna,,,,,1.0,1708.0
ALCO0553@2017-01-01,DZA,,,,Ouled Si Slimane,ouled si slimane,ALCO0553@2017-01-01,,,,,,true,Ouled Si Slimane,,,35.61089,5.63275,POINT(5.63275 35.61089),0553,Ouled Si Slimane,Batna,,,,,1.0,1709.0
ALCO0554@2017-01-01,DZA,,,,Zanat El Beida,zanat el beida,ALCO0554@2017-01-01,,,,,,true,Zanat El Beida,,,35.77902,6.08512,POINT(6.08512 35.77902),0554,Zanat El Beida,Batna,,,,,1.0,1710.0
ALCO0555@2017-01-01,DZA,,,,M'doukel,m doukel,ALCO0555@2017-01-01,,,,,,true,M'doukel,,,35.12972,5.17194,POINT(5.17194 35.12972),0555,M'doukel,Batna,,,,,1.0,1711.0
ALCO0558@2017-01-01,DZA,,,,Lazrou,lazrou,ALCO0558@2017-01-01,,,,,,true,Lazrou,,,35.84293,6.21661,POINT(6.21661 35.84293),0558,Lazrou,Batna,,,,,1.0,1712.0
ALCO0559@2017-01-01,DZA,,,,Boumia,boumia,ALCO0559@2017-01-01,,,,,,true,Boumia,,,,,,0559,Boumia,Batna,,,,,1.0,1713.0
ALCO0560@2017-01-01,DZA,,,,Lutaud,lutaud,,,,,,,true,Boulhilat,,,,,,,,,,,,1,1.0,1714.0
ALCO0561@2017-01-01,DZA,,,,Larbaâ,larbaa,ALCO0561@2017-01-01,,,,,,true,Larbaâ,,,,,,0561,Larbaâ,Batna,,,,,1.0,1715.0
ALCO0601@2017-01-01,DZA,,,,Bougie,bougie,,,,,,,true,Béjaïa,,,,,,,,,,,,2,1.0,1716.0
ALCO0602@2017-01-01,DZA,,,,Colmar,colmar,,,,,,,true,Amizour,,,,,,,,,,,,1,1.0,1717.0
ALCO0603@2017-01-01,DZA,,,,Ferraoun,ferraoun,ALCO0603@2017-01-01,,,15482,,,true,Ferraoun,,,36.556912,4.866471,POINT(4.866471 36.556912),0603,Ferraoun,Béjaïa,,,,,1.0,1718.0
ALCO0610@2017-01-01,DZA,,,,Tinabdher,tinabdher,ALCO0610@2017-01-01,,,5815,,,true,Tinabdher,,,36.62525,4.68101,POINT(4.68101 36.62525),0610,Tinabdher,Béjaïa,,,,,1.0,1719.0
ALCO0611@2017-01-01,DZA,,,,Tichy,tichy,ALCO0611@2017-01-01,,,16546,,,true,Tichy,,,36.667483,5.160085,POINT(5.160085 36.667483),0611,Tichy,Béjaïa,,,,,1.0,1720.0
ALCO0613@2017-01-01,DZA,,,,Kendira,kendira,ALCO0613@2017-01-01,,,5364,,,true,Kendira,,,36.532735,5.062809,POINT(5.062809 36.532735),0613,Kendira,Béjaïa,,,,,1.0,1721.0
ALCO0614@2017-01-01,DZA,,,,Tifra,tifra,ALCO0614@2017-01-01,,,8400,,,true,Tifra,,,36.66639,4.69722,POINT(4.69722 36.66639),0614,Tifra,Béjaïa,,,,,1.0,1722.0
ALCO0615@2017-01-01,DZA,,,,Ighram,ighram,ALCO0615@2017-01-01,,,12387,,,true,Ighram,,,36.46295,4.50532,POINT(4.50532 36.46295),0615,Ighram,Béjaïa,,,,,1.0,1723.0
ALCO0616@2017-01-01,DZA,,,,Amalou,amalou,ALCO0616@2017-01-01,,,8602,,,true,Amalou,,,36.48333,4.65,POINT(4.65 36.48333),0616,Amalou,Béjaïa,,,,,1.0,1724.0
ALCO0617@2017-01-01,DZA,,,,Mouka,mouka,,,,,,,true,Ighil Ali,,,,,,,,,,,,1,1.0,1725.0
ALCO0620@2017-01-01,DZA,,,,Darguina,darguina,ALCO0620@2017-01-01,,,14146,,,true,Darguina,,,36.564737,5.305173,POINT(5.305173 36.564737),0620,Darguina,Béjaïa,,,,,1.0,1726.0
ALCO0621@2017-01-01,DZA,,,,Sidi-Ayad,sidi ayad,ALCO0621@2017-01-01,,,5416,,,true,Sidi-Ayad,,,36.61667,4.75,POINT(4.75 36.61667),0621,Sidi-Ayad,Béjaïa,,,,,1.0,1727.0
ALCO0622@2017-01-01,DZA,,,,Oued Marsa,oued marsa,,,,,,,true,Aokas,,,,,,,,,,,,1,1.0,1728.0
ALCO0624@2017-01-01,DZA,,,,Adekar,adekar,ALCO0624@2017-01-01,,,13067,,,true,Adekar,,,36.6923733,4.6726227,POINT(4.6726227 36.6923733),0624,Adekar,Béjaïa,,,,,1.0,1729.0
ALCO0625@2017-01-01,DZA,,,,Akbou,akbou,ALCO0625@2017-01-01,,,53282,,,true,Akbou,,,36.45,4.55,POINT(4.55 36.45),0625,Akbou,Béjaïa,,,,,1.0,1730.0
ALCO0625@2017-01-01,DZA,,,,Metz,metz,,,,,,,true,Akbou,,,,,,,,,,,,1,1.0,1731.0
ALCO0627@2017-01-01,DZA,,,,Tazmalt,tazmalt,ALCO0627@2017-01-01,,,28891,,,true,Tazmalt,,,36.384393,4.399273,POINT(4.399273 36.384393),0627,Tazmalt,Béjaïa,,,,,1.0,1732.0
ALCO0632@2017-01-01,DZA,,,,Tala Hamza,tala hamza,ALCO0632@2017-01-01,,,11675,,,true,Tala Hamza,,,36.705294,5.037553,POINT(5.037553 36.705294),0632,Tala Hamza,Béjaïa,,,,,1.0,1733.0
ALCO0635@2017-01-01,DZA,,,,Ouzellaguen,ouzellaguen,ALCO0635@2017-01-01,,,22719,,,true,Ouzellaguen,,,36.54203,4.61291,POINT(4.61291 36.54203),0635,Ouzellaguen,Béjaïa,,,,,1.0,1734.0
ALCO0636@2017-01-01,DZA,,,,Bouhamza,bouhamza,ALCO0636@2017-01-01,,,9123,,,true,Bouhamza,,,36.489714,4.606769,POINT(4.606769 36.489714),0636,Bouhamza,Béjaïa,,,,,1.0,1735.0
ALCO0639@2017-01-01,DZA,,,,Sidi-Aïch,sidi aich,ALCO0639@2017-01-01,,,13775,,,true,Sidi-Aïch,,,36.612944,4.688298,POINT(4.688298 36.612944),0639,Sidi-Aïch,Béjaïa,,,,,1.0,1736.0
ALCO0640@2017-01-01,DZA,,,,Bitche,bitche,,,,,,,true,El Kseur,,,,,,,,,,,,1,1.0,1737.0
ALCO0642@2017-01-01,DZA,,,,Akfadou,akfadou,ALCO0642@2017-01-01,,,7358,,,true,Akfadou,,,36.2942,4.55449,POINT(4.55449 36.2942),0642,Akfadou,Béjaïa,,,,,1.0,1738.0
ALCO0644@2017-01-01,DZA,,,,Kherrata,kherrata,ALCO0644@2017-01-01,,,35077,,,true,Kherrata,,,36.492724,5.27759,POINT(5.27759 36.492724),0644,Kherrata,Béjaïa,,,,,1.0,1739.0
ALCO0646@2017-01-01,DZA,,,,Tamridjet,tamridjet,ALCO0646@2017-01-01,,,8413,,,true,Tamridjet,,,36.572,5.3738,POINT(5.3738 36.572),0646,Tamridjet,Béjaïa,,,,,1.0,1740.0
ALCO0647@2017-01-01,DZA,,,,Aït-Smail,ait smail,ALCO0647@2017-01-01,,,11783,,,true,Aït-Smail,,,36.54626,5.229664,POINT(5.229664 36.54626),0647,Aït-Smail,Béjaïa,,,,,1.0,1741.0
ALCO0648@2017-01-01,DZA,,,,Boukhelifa,boukhelifa,ALCO0648@2017-01-01,,,8766,,,true,Boukhelifa,,,36.614391,5.087201,POINT(5.087201 36.614391),0648,Boukhelifa,Béjaïa,,,,,1.0,1742.0
ALCO0649@2017-01-01,DZA,,,,Tizi N'Berber,tizi n berber,ALCO0649@2017-01-01,,,12624,,,true,Tizi N'Berber,,,36.75,5.066667,POINT(5.066667 36.75),0649,Tizi N'Berber,Béjaïa,,,,,1.0,1743.0
ALCO0651@2017-01-01,DZA,,,,La Réunion,reunion,,,,,,,true,Oued Ghir,,,,,,,,,,,,1,1.0,1744.0
ALCO0801@2017-01-01,DZA,,,,Colomb-Béchar,colomb bechar,,,,,,,true,Béchar,,,,,,,,,,,,2,1.0,1745.0
ALCO0804@2017-01-01,DZA,,,,Meridja,meridja,ALCO0804@2017-01-01,,,570,,,true,Meridja,,2270,31.5489167,-2.9475975,POINT(-2.9475975 31.5489167),0804,Meridja,Béchar,,,,,1.0,1746.0
ALCO0805@2017-01-01,DZA,,,,Timoudi,timoudi,ALCO0805@2017-01-01,,,2452,,,true,Timoudi,,6175,29.3211282,-1.1300468,POINT(-1.1300468 29.3211282),0805,Timoudi,Béchar,,,,,1.0,1747.0
ALCO0808@2017-01-01,DZA,,,,Beni Ikhlef,beni ikhlef,ALCO0808@2017-01-01,,,2488,,,true,Beni Ikhlef,,2615,29.575062,-1.6091537,POINT(-1.6091537 29.575062),0808,Beni Ikhlef,Béchar,,,,,1.0,1748.0
ALCO0809@2017-01-01,DZA,,,,Mechraa Houari Boumedienne,mechraa houari boumedienne,ALCO0809@2017-01-01,,,3088,,,true,Mechraa Houari Boumedienne,,2820,30.933345,-2.737988,POINT(-2.737988 30.933345),0809,Mechraa Houari Boumedienne,Béchar,,,,,1.0,1749.0
ALCO0811@2017-01-01,DZA,,,,Igli,igli,ALCO0811@2017-01-01,,,6833,,,true,Igli,,6220,30.453194,-2.291417,POINT(-2.291417 30.453194),0811,Igli,Béchar,,,,,1.0,1750.0
ALCO0812@2017-01-01,DZA,,,,Tabelbala,tabelbala,ALCO0812@2017-01-01,,,5248,,,true,Tabelbala,,60560,29.40603,-3.2592487,POINT(-3.2592487 29.40603),0812,Tabelbala,Béchar,,,,,1.0,1751.0
ALCO0813@2017-01-01,DZA,,,,Tarhit,tarhit,,,,,,,true,Taghit,,,,,,,,,,,,1,1.0,1752.0
ALCO0817@2017-01-01,DZA,,,,Abadla,abadla,ALCO0817@2017-01-01,,,14364,,,true,Abadla,,2870,31.016667,-2.733333,POINT(-2.733333 31.016667),0817,Abadla,Béchar,,,,,1.0,1753.0
ALCO0901@2017-01-01,DZA,,,,Rovigo,rovigo,,,,,,,true,Blida,,,,,,,,,,,,2,1.0,1755.0
ALCO0907@2017-01-01,DZA,,,,Dalmatie,dalmatie,,,,,,,true,Ouled Yaich,,,,,,,,,,,,1,1.0,1756.0
ALCO0911@2017-01-01,DZA,,,,Chiffa,chiffa,ALCO0911@2017-01-01,,,34268,,,true,Chiffa,,,36.466667,2.75,POINT(2.75 36.466667),0911,Chiffa,Blida,,,,,1.0,1757.0
ALCO0912@2017-01-01,DZA,,,,Hammam Melouane,hammam melouane,ALCO0912@2017-01-01,,,6076,,,true,Hammam Melouane,,,36.483333,3.05,POINT(3.05 36.483333),0912,Hammam Melouane,Blida,,,,,1.0,1758.0
ALCO0913@2017-01-01,DZA,,,,Benkhelil,benkhelil,ALCO0913@2017-01-01,,,29404,,,true,Benkhelil,,,36.62024,2.87639,POINT(2.87639 36.62024),0913,Benkhelil,Blida,,,,,1.0,1759.0
ALCO0916@2017-01-01,DZA,,,,Mouzaia,mouzaia,ALCO0916@2017-01-01,,,52555,,,true,Mouzaia,,,36.466667,2.683333,POINT(2.683333 36.466667),0916,Mouzaia,Blida,,,,,1.0,1760.0
ALCO0916@2017-01-01,DZA,,,,Mouzaïaville,mouzaiaville,,,,,,,true,Mouzaia,,,,,,,,,,,,1,1.0,1761.0
ALCO0918@2017-01-01,DZA,,,,Meftah,meftah,ALCO0918@2017-01-01,,,64978,,,true,Meftah,,,36.616667,3.233333,POINT(3.233333 36.616667),0918,Meftah,Blida,,,,,1.0,1762.0
ALCO0919@2017-01-01,DZA,,,,Ouled Slama,ouled slama,ALCO0919@2017-01-01,,,29291,,,true,Ouled Slama,,,36.54828,3.11006,POINT(3.11006 36.54828),0919,Ouled Slama,Blida,,,,,1.0,1763.0
ALCO0920@2017-01-01,DZA,,,,Boufarik,boufarik,ALCO0920@2017-01-01,,,71446,,,true,Boufarik,,,36.566667,2.916667,POINT(2.916667 36.566667),0920,Boufarik,Blida,,,,,1.0,1764.0
